TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A,ARCHIBAB Link,CDLI Link
UR 1247,1901,Abi-sare,5,10, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057544,T12795,P415609,IM 57544,UET 5 739,UET 5 739,https://www.archibab.fr/texte/12795,https://cdli.earth/artifacts/415609
UR 797,1901,Abi-sare,5,8, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U -,-,UM 52-30-131,T13089,P415172,UM 52-30-131,UET 5 288,UET 5 288,https://www.archibab.fr/texte/13089,https://cdli.earth/artifacts/415172
UR 1248,1900,Abi-sare,6,12, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057545,T12796,P415610,IM 57545,UET 5 740,UET 5 740,https://www.archibab.fr/texte/12796,https://cdli.earth/artifacts/415610
UR 1059,1900,Abi-sare,6,2, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - arua,,,U -,-,UM 52-30-197,T12612,P415425,UM 52-30-197,UET 5 550,UET 5 550,https://www.archibab.fr/texte/12612,https://cdli.earth/artifacts/415425
UR 182,1900,Abi-sare,6,4, -,Administrative (dairy),Ur (unprov),Administrative - Delivery,,,U -,-,IM 090227,T22434,P381914,IM 90227,"Nisaba 12 /2, 05",Nisaba 12 II 5,https://www.archibab.fr/texte/22434,https://cdli.earth/artifacts/381914
UR 1359,1899,Abi-sare,7,12, -,Giparu (abku),Ur (unprov),Administrative - Delivery,,,-,-,IM 057596,T12915,P415721,IM 57596,UET 5 851,UET 5 851,https://www.archibab.fr/texte/12915,https://cdli.earth/artifacts/415721
UR 221,1899,Abi-sare,7,5, -,Giparu (Ku-lugalbanda),Ur (unprov),Administrative - Delivery,,,U 31339,-,BM -,T22480,P381953,U.31339,"Nisaba 12 /3, 06 = 19, 256",Nisaba 12 III 6,https://www.archibab.fr/texte/22480,https://cdli.earth/artifacts/381953
UR 1188,1899,Abi-sare,7,9, -,Ganunmah (arrears),Ur's Ganunmah (TTB),Administrative - balance account,,Z?,U 00349,-,IM 057512,T12737,P415552,IM 57512 = U.349,UET 5 680,UET 5 680,https://www.archibab.fr/texte/12737,https://cdli.earth/artifacts/415552
UR 366,1899,Abi-sare,7,9, -,Ganunmah (silver),Ur (unprov),Administrative - Donation,,,U -,-,IM 090229,T22650,P448843,IM 90373,Nisaba 19 143,Nisaba 19 143,https://www.archibab.fr/texte/22650,https://cdli.earth/artifacts/448843
UR 834,1899,Abi-sare,7,9, -,Legal (loan),Ur (unprov),Legal - Loan (Silver),,,-,-,IM 057332,T12341,P415207,IM 57332,UET 5 325,UET 5 325,https://www.archibab.fr/texte/12341,https://cdli.earth/artifacts/415207
UR 1014,1899,-,-,-, -,"Administrative (expenditures, E-kishiba)",ADDED TO 1!,Administrative,,,-,-,IM 057423,T12570,P415380,IM 57423,UET 5 505,UET 5 505,https://www.archibab.fr/texte/12570,https://cdli.earth/artifacts/415380
UR 1240,1898,Abi-sare,8,10, -,Giparu (Ku-lugalbanda),Ur (unprov),Administrative - Donation,,,U -,"1953-04-11, 0233",BM 131398,T12789,P415602,"BM 131398 = 1953-04-11, 233",UET 5 732,UET 5 732,https://www.archibab.fr/texte/12789,https://cdli.earth/artifacts/415602
UR 1034,1898,Abi-sare,8,6, -,Ganunmah (rent payment),Ur's Ganunmah (TTB),Administrative - Delivery,,20,U 00342,-,IM 057438,T12588,P415400,IM 57438 = U.342,UET 5 525,UET 5 525,https://www.archibab.fr/texte/12588,https://cdli.earth/artifacts/415400
UR 140,1898,Abi-sare,8,9, -,Giparu (Ningal Tithe),Ur (unprov),Administrative - arua,,,U 31490,-,BM -,T22389,P381872,U.31490,"Nisaba 12 /1, 01",Nisaba 12 I 1,https://www.archibab.fr/texte/22389,https://cdli.earth/artifacts/381872
UR 161,1897,Abi-sare,9,-, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U 31484,-,BM -,T22409,P381893,U.31484,"Nisaba 12 /1, 22",Nisaba 12 I 22,https://www.archibab.fr/texte/22409,https://cdli.earth/artifacts/381893
UR 1295,1897,Abi-sare,9,2, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,U -,"1953-04-11, 0246",BM 131411,T12834,P415657,"BM 131411 = 1953-04-11, 246",UET 5 787,UET 5 787,https://www.archibab.fr/texte/12834,https://cdli.earth/artifacts/415657
UR 29,1897,Abi-sare,9,2, -,Ganunmah (silver),Ur's Ganunmah (TTB),Administrative - Pay List,Room 34,Below KM Wall,-,-,-,T24986,N/A,U.2603,-,Inedit,https://www.archibab.fr/texte/24986,
UR 1129,1897,Abi-sare,9,4, -,Giparu (abku),Ur's Giparu (KP),Administrative - Delivery,,,U 06730,-,IM 057484,T12680,P415493,IM 57484 = U.6730,UET 5 621,UET 5 621,https://www.archibab.fr/texte/12680,https://cdli.earth/artifacts/415493
UR 59,1897,Abi-sare,9,6, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,Room C26?,H-J 2-3,U 06710,-,BM -,T22736,P468117,U.6710,"Figulla, Iraq 15 108",Figulla Iraq 15 30,https://www.archibab.fr/texte/22736,https://cdli.earth/artifacts/468117
UR 969,1897,-,-,-, -,Ganunmah (E-Kishib)?,Ur (unprov),Administrative,,,U -,"1953-04-11, 0169",BM 131334,T12526,P415336,"BM 131334 = 1953-04-11, 169",UET 5 460,UET 5 460,https://www.archibab.fr/texte/12526,https://cdli.earth/artifacts/415336
NIPPUR 5408,1896,Bur-Sin,A,6,-,TB - House B?: Nin-me-dugga?,Nippur (PBS 8),Legal - Sale (Land),,,-,-,CBS 06052,-,P264424,-,"PBS 08 /1, 001",-,,https://cdli.earth/artifacts/264424
UR 58,1896,Abi-sare,10,11, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,Room C26,H-J 2-3,U 06384,-,IM -,T22737,P499237,U.6384,UET 1 236,Figulla Iraq 15 26,https://www.archibab.fr/texte/22737,https://cdli.earth/artifacts/499237
UR 645,1896,Abi-sare,10,12, -,Aha-nirshi ,Ur (unprov),Legal - Sale (House),,,-,-,IM 057241,T12985,P415030,IM 57241,UET 5 134,UET 5 134,https://www.archibab.fr/texte/12985,https://cdli.earth/artifacts/415030
UR 644,1896,Abi-sare,10,12-bis, -,Aha-nirshi ,Ur (unprov),Legal - Sale (House),,,-,-,IM 057240,T12984,P415029,IM 57240,UET 5 133,UET 5 133,https://www.archibab.fr/texte/12984,https://cdli.earth/artifacts/415029
UR 1249,1896,Abi-sare,10,9, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,C/26,H-J 2-3,-,-,IM 057546,T12797,P415611,IM 57546,UET 5 741,UET 5 741,https://www.archibab.fr/texte/12797,https://cdli.earth/artifacts/415611
NIPPUR 5409,1895,Bur-Sin,B,-,-,TB - House B?: Nin-me-dugga?,Nippur (PBS 8),Legal - Sale (Land),,,-,-,CBS 06053,-,P264425,-,"PBS 08 /1, 006",-,,https://cdli.earth/artifacts/264425
UR 1037,1895,Abi-sare,11,1, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057441,T12591,P415403,IM 57441,UET 5 528,UET 5 528,https://www.archibab.fr/texte/12591,https://cdli.earth/artifacts/415403
UR 1036,1895,Abi-sare,11,4, -,Giparu (arua),Ur (unprov),Administrative - arua,,,-,-,IM 057440,T12590,P415402,IM 57440,UET 5 527,UET 5 527,https://www.archibab.fr/texte/12590,https://cdli.earth/artifacts/415402
UR 798,1895,Abi-sare,11,4, -,Giparu (arua),Ur (unprov),Administrative - arua,,,U -,-,UM 52-30-132,T13090,P415173,UM 52-30-132,UET 5 289,UET 5 289,https://www.archibab.fr/texte/13090,https://cdli.earth/artifacts/415173
UR 643,1895,Abi-sare,11,8, -,Aha-nirshi ,Ur (unprov),Legal - Sale (House),,,-,-,IM 057239,T12983,P415028,IM 57239,UET 5 132,UET 5 132,https://www.archibab.fr/texte/12983,https://cdli.earth/artifacts/415028
UR 951,1895,Abi-sare,11,8, -,Quiet Street 5: Administrative (barley),"Ur's Extra-mural (EM), Quiet Street 5",Administrative - Delivery (barley),,,U 07795f,-,IM 057395,T12509,P415319,IM 57395 = U.7795f,UET 5 442,UET 5 442,https://www.archibab.fr/texte/12509,https://cdli.earth/artifacts/415319
